Salary,Hours,Exercise
,NA,NA
,9-12,I don't typically exercise
120K,>12,I don't typically exercise
250K,9-12,I don't typically exercise
,5-8,3 - 4 times per week
,5-8,Daily or almost every day
75K,5-8,I don't typically exercise
,5-8,I don't typically exercise
,NA,NA
40K,5-8,Daily or almost every day
60K,9-12,I don't typically exercise
80K,5-8,Daily or almost every day
,9-12,3 - 4 times per week
70K,9-12,I don't typically exercise
115K,9-12,3 - 4 times per week
70K,1-4,3 - 4 times per week
90K,9-12,Daily or almost every day
,NA,NA
115K,9-12,1 - 2 times per week
,NA,NA
,5-8,I don't typically exercise
120K,9-12,Daily or almost every day
,NA,NA
,NA,NA
35K,9-12,1 - 2 times per week
,9-12,Daily or almost every day
75K,NA,NA
120K,9-12,3 - 4 times per week
140K,5-8,Daily or almost every day
,NA,NA
120K,9-12,1 - 2 times per week
,NA,NA
110K,9-12,Daily or almost every day
70K,9-12,I don't typically exercise
,NA,NA
105K,9-12,Daily or almost every day
105K,9-12,1 - 2 times per week
120K,>12,I don't typically exercise
75K,5-8,I don't typically exercise
95K,9-12,1 - 2 times per week
125K,5-8,I don't typically exercise
1080K,5-8,3 - 4 times per week
,9-12,I don't typically exercise
60K,5-8,3 - 4 times per week
1140K,5-8,1 - 2 times per week
,NA,NA
80K,9-12,I don't typically exercise
65K,9-12,I don't typically exercise
,NA,NA
,9-12,1 - 2 times per week
60K,9-12,3 - 4 times per week
105K,9-12,1 - 2 times per week
,5-8,3 - 4 times per week
,5-8,3 - 4 times per week
140K,9-12,I don't typically exercise
55K,9-12,I don't typically exercise
,9-12,Daily or almost every day
,5-8,I don't typically exercise
,NA,NA
,5-8,1 - 2 times per week
70K,5-8,1 - 2 times per week
75K,NA,I don't typically exercise
70K,5-8,3 - 4 times per week
185K,9-12,3 - 4 times per week
125K,9-12,1 - 2 times per week
25K,9-12,I don't typically exercise
30K,5-8,1 - 2 times per week
,9-12,1 - 2 times per week
235K,5-8,Daily or almost every day
125K,9-12,1 - 2 times per week
155K,9-12,I don't typically exercise
110K,5-8,I don't typically exercise
125K,5-8,I don't typically exercise
45K,9-12,Daily or almost every day
110K,9-12,3 - 4 times per week
10K,5-8,3 - 4 times per week
60K,9-12,1 - 2 times per week
90K,>12,1 - 2 times per week
140K,9-12,I don't typically exercise
95K,5-8,I don't typically exercise
